ObjectID,Project,Phase,Treatments,Monitoring,Block,Unit,Plot,BEST_Treat,Species,Decay_Class,Tree Damage Code,Damage Agent,Beetle,Cone Production,Shrubs under trees,Diameter_Units,DBH,DBH_cm,Height_Units,Height,CBH,CR,Max Crown Scorch Ht,Max Stem Char Ht,Notes,CreationDate,EditDate
936,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,L,,,G,None,>half,cm,5.551181102,14.1,ft,23.2,,,,,,7/23/2020 14:51,7/23/2020 14:51
946,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,L,,,G,None,<half,cm,6.25984252,15.9,,23.7,19.6,17.29957806,,,,7/23/2020 14:52,7/23/2020 14:52
943,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,L,,,G,None,<half,cm,7.165354331,18.2,,45.6,4,91.22807018,,,,7/23/2020 14:51,7/23/2020 14:51
937,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,L,,,G,None,>half,cm,7.519685039,19.1,,45.3,12.8,71.74392936,,,,7/23/2020 14:52,7/23/2020 14:52
953,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,L,,,G,None,>half,cm,8.188976378,20.8,ft,27.3,18.6,31.86813187,,,,7/23/2020 14:51,7/23/2020 14:51
948,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,L,,,G,None,>half,cm,10.90551181,27.7,,34.1,9.5,72.14076246,,,,7/23/2020 14:52,7/23/2020 14:52
942,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,L,,,G,None,>half,cm,11.61417323,29.5,,48.8,30.4,37.70491803,,,,7/23/2020 14:51,7/23/2020 14:51
941,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,L,,,G,None,>half,cm,13.77952756,35,,57.4,32.8,42.85714286,,,,7/23/2020 14:52,7/23/2020 14:52
944,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,L,,,G,None,<half,cm,14.37007874,36.5,,49.8,23.5,52.81124498,,,,7/23/2020 14:51,7/23/2020 14:51
945,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,L,,,G,None,<half,cm,14.40944882,36.6,,49.2,23.5,52.23577236,,,,7/23/2020 14:52,7/23/2020 14:52
952,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,L,,,G,None,<half,cm,14.48818898,36.8,,44.2,27.4,38.00904977,,,,7/23/2020 14:51,7/23/2020 14:51
950,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,L,,,G,,<half,cm,14.88188976,37.8,,47.2,29.9,36.65254237,,,,7/23/2020 14:52,7/23/2020 14:52
939,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,L,,,G,None,>half,cm,15.03937008,38.2,,52.2,37.8,27.5862069,,,,7/30/2020 21:20,7/30/2020 21:20
954,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,D,I,BB,G,None,<half,cm,15.15748031,38.5,ft,52.6,,,,,,7/30/2020 21:20,7/30/2020 21:20
940,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,,,,G,None,>half,cm,15.66929134,39.8,,55.9,32,42.7549195,,,,7/30/2020 21:20,7/30/2020 21:20
949,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,L,,,G,None,<half,cm,17.63779528,44.8,,40.9,22.9,44.00977995,,,,7/30/2020 21:20,7/30/2020 21:20
938,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,L,,,G,None,>half,cm,18.1496063,46.1,,50.3,36.9,26.64015905,,,,7/30/2020 21:20,7/30/2020 21:20
947,LonePine,Pre,Control,Yes,Best,,29,NA,PIPO,L,,,G,None,>half,cm,19.84251969,50.4,,48.5,2,95.87628866,,,,7/30/2020 21:20,7/30/2020 21:20
965,LonePine,Pre,Control,Yes,Best,,30,NA,PIPO,L,,,G,None,>half,cm,12.00787402,30.5,ft,44.5,38.6,13.25842697,,,,7/30/2020 21:20,7/30/2020 21:20
966,LonePine,Pre,Control,Yes,Best,,30,NA,PIPO,L,,,G,None,>half,cm,12.08661417,30.7,ft,55.2,20.6,62.68115942,,,,7/30/2020 21:20,7/30/2020 21:20
957,LonePine,Pre,Control,Yes,Best,,30,NA,PIPO,L,,,G,None,None,cm,4.960629921,12.6,ft,21,4,80.95238095,,,,7/30/2020 21:20,7/30/2020 21:20
959,LonePine,Pre,Control,Yes,Best,,30,NA,PIPO,L,,,G,None,<half,cm,5.866141732,14.9,ft,26,10,61.53846154,,,,7/30/2020 21:20,7/30/2020 21:20
960,LonePine,Pre,Control,Yes,Best,,30,NA,PIPO,L,,,G,None,<half,cm,7.992125984,20.3,ft,28,8.6,69.28571429,,,,7/30/2020 21:20,7/30/2020 21:20
958,LonePine,Pre,Control,Yes,Best,,30,NA,JUSC2,L,,,G,Many,>half,cm,8.661417323,22,ft,19.1,5,73.82198953,,,,7/30/2020 21:20,7/30/2020 21:20
963,LonePine,Pre,Control,Yes,Best,,30,NA,PIPO,L,,,G,None,<half,cm,9.645669291,24.5,ft,30.5,18.6,39.01639344,,,,7/30/2020 21:20,7/30/2020 21:20
962,LonePine,Pre,Control,Yes,Best,,30,NA,PIPO,L,,,G,None,>half,cm,11.96850394,30.4,ft,37.7,9.6,74.53580902,,,,7/30/2020 21:20,7/30/2020 21:20
